DATOS TÉCNICOS Y TRAZABILIDAD							
Esta pestaña conserva el texto original, la descripción olfativa, la ruta de imagen y la fuente de verificación.							
							
Código	Nombre original exacto	Descripción olfativa	Ruta de imagen	Fuente	Orden original	Control de duplicado	Estado de ficha
AP-1564	ABERCROMBIE & FITCH TOGETHER MUJER 100ML EDP ABERCROMBIE & FITCH	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/abercrombie_and_fitch_together_mujer_100ml_edp_abercrombie_and_fitch_9353380fc0.webp		1594	Único	Pendiente
AP-0979	AUTHENTIC HOMBRE 100ML EDT ABERCROMBIE & FITCH	Salida: toronja (pomelo), bergamota y pimienta rosa. Corazón: jengibre, sage y lavanda. Fondo: clearwood, suede y moss.	img/perfumes/authentic_hombre_100ml_edt_abercrombie_and_fitch_618f914d6a.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/authentic-man-54004.html	1006	Único	Ficha verificada
AP-0977	AUTHENTIC MOMENT HOMBRE 100ML EDT ABERCROMBIE & FITCH	Salida: manzana, canela, cypress y bergamota. Corazón: neroli. Fondo: vainilla, sándalo, almizcle y amberwood.	img/perfumes/authentic_moment_hombre_100ml_edt_abercrombie_and_fitch_aa44446529.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/authentic-moment-man-79927.html	1004	Único	Ficha verificada
AP-1566	AUTHENTIC MOMENT MUJER 100ML EDP ABERCROMBIE & FITCH	Salida: red fruits, rhubarb y mandarina. Corazón: jazmín y rosa. Fondo: almizcle, ambroxan, cuero y cedro.	img/perfumes/authentic_moment_mujer_100ml_edp_abercrombie_and_fitch_97e359c5b0.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/authentic-moment-woman-79928.html	1596	Único	Ficha verificada
AP-0978	AUTHENTIC NIGHT HOMBRE 100ML EDT ABERCROMBIE & FITCH	Salida: manzana, rhubarb y flor de loto. Corazón: vainilla, lavanda y clary sage. Fondo: haba tonka, cuero y musgo de roble.	img/perfumes/authentic_night_hombre_100ml_edt_abercrombie_and_fitch_9ae8228e54.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/authentic-night-homme-61858.html	1005	Único	Ficha verificada
AP-1567	AUTHENTIC NIGHT MUJER 100ML EDP ABERCROMBIE & FITCH	Salida: grosella negra, manzana y pimienta rosa. Corazón: nardo, jasmine sambac y magnolia. Fondo: pachulí, sándalo y cedro.	img/perfumes/authentic_night_mujer_100ml_edp_abercrombie_and_fitch_0c178cbab7.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/authentic-night-femme-61859.html	1597	Único	Ficha verificada
AP-0973	FIERCE HOMBRE 100ML EDC ABERCROMBIE & FITCH	Salida: fir, limón (lima ácida), naranja y petitgrain. Corazón: rosemary, lirio de los valles (muguete), jazmín y rosa. Fondo: almizcle, vetiver, musgo de roble y brazilian rosewood.	img/perfumes/fierce_hombre_100ml_edc_abercrombie_and_fitch_58ba4973d2.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/fierce-3508.html	1000	Único	Ficha verificada
AP-0974	FIERCE HOMBRE 200ML EDC ABERCROMBIE & FITCH	Salida: fir, limón (lima ácida), naranja y petitgrain. Corazón: rosemary, lirio de los valles (muguete), jazmín y rosa. Fondo: almizcle, vetiver, musgo de roble y brazilian rosewood.	img/perfumes/fierce_hombre_200ml_edc_abercrombie_and_fitch_577d95823d.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/fierce-3508.html	1001	Único	Ficha verificada
AP-1565	FIERCE NATURALLY MUJER 100ML EDP ABERCROMBIE & FITCH	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/fierce_naturally_mujer_100ml_edp_abercrombie_and_fitch_1f198ecfc8.webp		1595	Único	Pendiente
AP-0975	FIRST INSTINCT HOMBRE 100ML EDT ABERCROMBIE & FITCH	Salida: melón, tonic water y gin. Corazón: violet leaf, sichuan pepper y cítricos. Fondo: almizcle, suede y ámbar.	img/perfumes/first_instinct_hombre_100ml_edt_abercrombie_and_fitch_ccd1ca85ea.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/first-instinct-37753.html	1002	Único	Ficha verificada
AP-1562	FIRST INSTINCT MUJER 100ML EDP ABERCROMBIE & FITCH	Salida: passionfruit, magnolia y toronja (pomelo). Corazón: butterfly orchid y flor de azahar del naranjo. Fondo: haba tonka y ámbar.	img/perfumes/first_instinct_mujer_100ml_edp_abercrombie_and_fitch_b257655279.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/first-instinct-for-her-43763.html	1592	Único	Ficha verificada
AP-1561	FIRST INSTINCT BLUE MUJER 100ML EDP ABERCROMBIE & FITCH	Salida: ozonic notes, salt, zarzamora (frambuesa negra) y bergamota. Corazón: chabacano, peony y jazmín. Fondo: pachulí, vanila y sándalo.	img/perfumes/first_instinct_blue_mujer_100ml_edp_abercrombie_and_fitch_afb5bbd06d.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/first-instinct-blue-for-her-50657.html	1591	Único	Ficha verificada
AP-0976	FIRST INSTINCT EXTREME HOMBRE 100ML EDP ABERCROMBIE & FITCH	Salida: carambola (star fruit), pimienta y mandarin leaf. Corazón: violet leaf, sichuan pepper, cardamomo y azafrán. Fondo: almizcle, ámbar, coconut milk y suede.	img/perfumes/first_instinct_extreme_hombre_100ml_edp_abercrombie_and_fitch_399e4b26cd.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/first-instinct-extreme-52880.html	1003	Único	Ficha verificada
AP-1563	FIRST INSTINCT SHEER MUJER 100ML EDP ABERCROMBIE & FITCH	Salida: mountain air, bergamota y pimienta rosa. Corazón: flor de azahar del naranjo, lirio de los valles (muguete) y hibiscus. Fondo: almizcle, ámbar y notas amaderadas.	img/perfumes/first_instinct_sheer_mujer_100ml_edp_abercrombie_and_fitch_0f135142a5.webp	https://www.fragrantica.com/perfume/abercrombie-fitch/first-instinct-sheer-52881.html	1593	Único	Ficha verificada
