ARCHIVUM PARFUMS | CATÁLOGO MAYORISTA												
Inventario organizado para lectura, búsqueda y filtros. Precios expresados en colones costarricenses.												
Consejo: filtrá por marca, público, concentración o estado de ficha desde los encabezados.												
Código	Perfume	Marca	Público	Presentación	Concentración	Notas principales	Precio mayorista	Tipo	Estado de ficha	Descripción	Imagen	Nombre original exacto
AP-1564	Abercrombie & Fitch Together	Abercrombie & Fitch	Mujer	100 ml	EDP	Sin clasificar	18000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/abercrombie_and_fitch_together_mujer_100ml_edp_abercrombie_and_fitch_9353380fc0.webp	ABERCROMBIE & FITCH TOGETHER MUJER 100ML EDP ABERCROMBIE & FITCH
AP-0979	Authentic	Abercrombie & Fitch	Hombre	100 ml	EDT	Amaderado · Cítrico · Frutal · Especiado · Cuero · Verde	18000	Perfume	Ficha verificada	Salida: toronja (pomelo), bergamota y pimienta rosa. Corazón: jengibre, sage y lavanda. Fondo: clearwood, suede y moss.	img/perfumes/authentic_hombre_100ml_edt_abercrombie_and_fitch_618f914d6a.webp	AUTHENTIC HOMBRE 100ML EDT ABERCROMBIE & FITCH
AP-0977	Authentic Moment	Abercrombie & Fitch	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Oriental · Gourmand · Especiado · Almizclado	18000	Perfume	Ficha verificada	Salida: manzana, canela, cypress y bergamota. Corazón: neroli. Fondo: vainilla, sándalo, almizcle y amberwood.	img/perfumes/authentic_moment_hombre_100ml_edt_abercrombie_and_fitch_aa44446529.webp	AUTHENTIC MOMENT HOMBRE 100ML EDT ABERCROMBIE & FITCH
AP-1566	Authentic Moment	Abercrombie & Fitch	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Oriental · Gourmand · Cuero · Almizclado	18000	Perfume	Ficha verificada	Salida: red fruits, rhubarb y mandarina. Corazón: jazmín y rosa. Fondo: almizcle, ambroxan, cuero y cedro.	img/perfumes/authentic_moment_mujer_100ml_edp_abercrombie_and_fitch_97e359c5b0.webp	AUTHENTIC MOMENT MUJER 100ML EDP ABERCROMBIE & FITCH
AP-0978	Authentic Night	Abercrombie & Fitch	Hombre	100 ml	EDT	Amaderado · Frutal · Gourmand · Cuero · Verde	18000	Perfume	Ficha verificada	Salida: manzana, rhubarb y flor de loto. Corazón: vainilla, lavanda y clary sage. Fondo: haba tonka, cuero y musgo de roble.	img/perfumes/authentic_night_hombre_100ml_edt_abercrombie_and_fitch_9ae8228e54.webp	AUTHENTIC NIGHT HOMBRE 100ML EDT ABERCROMBIE & FITCH
AP-1567	Authentic Night	Abercrombie & Fitch	Mujer	100 ml	EDP	Amaderado · Floral · Frutal · Especiado	18000	Perfume	Ficha verificada	Salida: grosella negra, manzana y pimienta rosa. Corazón: nardo, jasmine sambac y magnolia. Fondo: pachulí, sándalo y cedro.	img/perfumes/authentic_night_mujer_100ml_edp_abercrombie_and_fitch_0c178cbab7.webp	AUTHENTIC NIGHT MUJER 100ML EDP ABERCROMBIE & FITCH
AP-0973	Fierce	Abercrombie & Fitch	Hombre	100 ml	EDC	Amaderado · Cítrico · Floral · Especiado · Almizclado · Verde	26000	Perfume	Ficha verificada	Salida: fir, limón (lima ácida), naranja y petitgrain. Corazón: rosemary, lirio de los valles (muguete), jazmín y rosa. Fondo: almizcle, vetiver, musgo de roble y brazilian rosewood.	img/perfumes/fierce_hombre_100ml_edc_abercrombie_and_fitch_58ba4973d2.webp	FIERCE HOMBRE 100ML EDC ABERCROMBIE & FITCH
AP-0974	Fierce	Abercrombie & Fitch	Hombre	200 ml	EDC	Amaderado · Cítrico · Floral · Especiado · Almizclado · Verde	39000	Perfume	Ficha verificada	Salida: fir, limón (lima ácida), naranja y petitgrain. Corazón: rosemary, lirio de los valles (muguete), jazmín y rosa. Fondo: almizcle, vetiver, musgo de roble y brazilian rosewood.	img/perfumes/fierce_hombre_200ml_edc_abercrombie_and_fitch_577d95823d.webp	FIERCE HOMBRE 200ML EDC ABERCROMBIE & FITCH
AP-1565	Fierce Naturally	Abercrombie & Fitch	Mujer	100 ml	EDP	Sin clasificar	18000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/fierce_naturally_mujer_100ml_edp_abercrombie_and_fitch_1f198ecfc8.webp	FIERCE NATURALLY MUJER 100ML EDP ABERCROMBIE & FITCH
AP-0975	First Instinct	Abercrombie & Fitch	Hombre	100 ml	EDT	Cítrico · Floral · Frutal · Oriental · Especiado · Cuero · Almizclado · Verde	18000	Perfume	Ficha verificada	Salida: melón, tonic water y gin. Corazón: violet leaf, sichuan pepper y cítricos. Fondo: almizcle, suede y ámbar.	img/perfumes/first_instinct_hombre_100ml_edt_abercrombie_and_fitch_ccd1ca85ea.webp	FIRST INSTINCT HOMBRE 100ML EDT ABERCROMBIE & FITCH
